policy,bw_mbit,obj_label,client,iteration,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
lossaware,20,10K,h2,10,10240,6.0,15,1,17.2517,17.26,0.2342,17.5879,4.7493,4.7462,0.0647,4.8457,10.6233,10.585,0.167,10.8776,0.0,0,0.0,0.0,7.2346,7.246,0.0751,7.3468,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,1,10240,22.0,15,1,58.4923,58.159,1.6144,60.3814,1.4015,1.4086,0.0389,1.4604,31.2808,31.746,1.6172,33.0651,0.0,0,0.0,0.0,26.772,26.713,0.7146,27.9409,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,2,10240,22.0,15,1,59.6929,60.008,1.5666,61.8585,1.3732,1.3652,0.0362,1.4266,31.6968,31.873,1.5394,33.6047,0.0,0,0.0,0.0,27.3635,27.339,0.9611,28.7739,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,3,10240,22.0,15,1,57.7841,57.449,3.3024,61.9577,1.4221,1.426,0.0836,1.5648,30.8873,31.34,2.148,33.1117,0.0,0,0.0,0.0,26.4445,26.475,1.0054,28.3777,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,4,10240,22.0,15,1,57.941,57.432,2.3738,61.4583,1.4161,1.4264,0.0581,1.5011,31.3923,31.78,2.0026,33.3427,0.0,0,0.0,0.0,26.622,26.582,1.2463,28.3082,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,5,10240,22.0,15,1,58.2837,58.974,2.4431,61.1085,1.4079,1.3891,0.06,1.4914,31.2485,31.563,1.3067,32.7796,0.0,0,0.0,0.0,26.5331,26.147,1.2186,28.1943,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,6,10240,22.0,15,1,58.9237,59.399,1.6802,60.5345,1.3914,1.3791,0.0406,1.4615,31.4573,32.05,1.905,33.1318,0.0,0,0.0,0.0,26.7921,26.579,1.1455,28.3959,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,7,10240,22.0,15,1,60.0112,60.376,1.7481,61.9457,1.3662,1.3568,0.0416,1.4257,32.1652,32.019,0.6467,33.2973,0.0,0,0.0,0.0,27.1421,26.669,0.7955,28.4314,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,8,10240,22.0,15,1,58.8619,58.582,2.0136,62.0876,1.3932,1.3984,0.0475,1.4557,31.2153,31.394,1.9244,33.6227,0.0,0,0.0,0.0,27.1309,27.135,0.9633,28.6047,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
lossaware,20,10K,h3,9,10240,22.0,15,1,58.4905,58.916,2.5174,60.8681,1.4031,1.3905,0.0642,1.5303,31.5477,31.752,1.5757,33.1633,0.0,0,0.0,0.0,26.4473,26.566,1.1732,28.1234,10.0,10,0.0,10.0,18.0,18,0.0,18.0,0.0,0
